sex,race,degree,relig,polparty,cappun,tvhours,owngun,gunlaw,age,chldidel
Female,White,HighSchool,Other,Republican,Favor,1,No,Favor,25,2
Male,White,HighSchool,Catholic,Independent,Favor,1,Yes,Oppose,47,3
Female,White,HighSchool,Other,Republican,Favor,4,No,Favor,51,2
Male,AfrAm,HighSchool,Catholic,Democrat,Oppose,6,No,Favor,23,3
Female,White,HighSchool,Catholic,Other,Favor,5,No,Favor,69,4
Male,White,Bachelor,Protestant,Democrat,Favor,1,No,Favor,57,2
Male,White,NotHs,Catholic,Independent,Oppose,1,Yes,Oppose,77,5
Female,White,Bachelor,Protestant,Republican,Favor,3,No,Favor,76,3
Male,White,HighSchool,Other,Republican,Favor,3,Yes,Favor,21,2
Male,White,HighSchool,Protestant,Republican,Favor,2,No,Favor,45,2
Female,White,Graduate,Protestant,Independent,Favor,1,Yes,Oppose,64,3
Female,AfrAm,HighSchool,Protestant,Democrat,Oppose,8,No,Favor,74,2
Male,White,JunColl,Catholic,Democrat,Favor,2,No,Favor,77,4
Male,White,HighSchool,Protestant,Republican,Favor,1,Yes,Oppose,28,3
Female,White,HighSchool,Other,Independent,Favor,2,No,Favor,23,3
Female,White,Graduate,Jewish,Democrat,Oppose,1,No,Favor,53,2
Female,White,Bachelor,Other,Republican,Favor,3,No,Favor,54,2
Female,White,HighSchool,Protestant,Republican,Favor,4,Yes,Favor,44,3
Female,White,HighSchool,Protestant,Independent,Favor,1,No,Favor,47,2
Male,White,HighSchool,Catholic,Independent,Favor,4,No,Favor,55,4
Male,AfrAm,HighSchool,Catholic,Democrat,Oppose,6,No,Favor,78,4
Female,White,HighSchool,Protestant,Democrat,Favor,2,No,Favor,38,2
Female,White,JunColl,Catholic,Independent,Favor,1,Yes,Favor,44,3
Male,White,NotHs,Protestant,Democrat,Favor,6,No,Favor,64,2
Male,White,Bachelor,Other,Independent,Favor,1,Yes,Favor,24,3
Female,White,HighSchool,Catholic,Republican,Favor,3,No,Favor,36,2
Female,White,HighSchool,Catholic,Republican,Favor,1,No,Favor,44,2
Male,White,JunColl,Other,Republican,Favor,1,No,Favor,30,2
Male,White,HighSchool,Protestant,Democrat,Favor,4,No,Favor,45,2
Male,AfrAm,HighSchool,Protestant,Democrat,Oppose,8,No,Oppose,22,2
Female,AfrAm,HighSchool,Protestant,Republican,Favor,7,No,Favor,48,2
Male,Other,HighSchool,Catholic,Democrat,Favor,6,No,Favor,32,2
Female,White,HighSchool,Catholic,Independent,Oppose,5,No,Favor,45,2
Female,White,JunColl,Other,Democrat,Favor,2,No,Favor,40,2
Male,White,Bachelor,Protestant,Republican,Favor,2,No,Favor,37,2
Male,Other,HighSchool,Catholic,Republican,Favor,4,No,Favor,57,4
Male,Hispanic,HighSchool,Protestant,Democrat,Oppose,3,No,Favor,24,4
Female,AfrAm,HighSchool,Protestant,Democrat,Oppose,4,No,Favor,53,2
Female,AfrAm,HighSchool,Other,Democrat,Favor,6,No,Favor,35,4
Female,AfrAm,HighSchool,Protestant,Democrat,Oppose,10,No,Favor,25,3
Male,White,Bachelor,Catholic,Republican,Favor,1,No,Favor,61,2
Male,White,Graduate,Protestant,Democrat,Favor,1,No,Favor,40,2
Male,White,HighSchool,Protestant,Republican,Favor,3,No,Favor,76,2
Male,White,HighSchool,Catholic,Democrat,Favor,5,Yes,Favor,29,3
Male,White,HighSchool,Catholic,Independent,Favor,3,Yes,Favor,70,2
Female,White,HighSchool,Protestant,Republican,Favor,3,Yes,Favor,23,3
Male,White,HighSchool,Catholic,Democrat,Favor,4,No,Favor,44,2
Female,White,HighSchool,Protestant,Democrat,Favor,2,Yes,Favor,76,3
Male,White,HighSchool,Other,Independent,Favor,1,No,Favor,26,2
Male,White,HighSchool,Other,Democrat,Favor,3,No,Favor,35,2
Female,White,Graduate,Other,Democrat,Favor,1,No,Favor,37,2
Female,AfrAm,NotHs,Protestant,Democrat,Oppose,1,Yes,Favor,52,4
Female,White,HighSchool,Catholic,Democrat,Favor,1,No,Favor,26,3
Female,White,NotHs,Catholic,Independent,Favor,6,No,Favor,51,2
Female,White,JunColl,Catholic,Republican,Favor,4,Yes,Oppose,47,2
Male,White,Graduate,Other,Democrat,Favor,2,No,Favor,75,3
Male,White,HighSchool,Catholic,Independent,Oppose,3,Yes,Oppose,57,2
Male,White,HighSchool,Catholic,Republican,Favor,3,No,Oppose,66,3
Female,White,HighSchool,Other,Democrat,Favor,4,No,Favor,46,3
Male,White,NotHs,Other,Independent,Oppose,5,No,Favor,43,4
Male,White,HighSchool,Other,Republican,Favor,4,No,Favor,73,4
Female,White,HighSchool,Protestant,Independent,Favor,2,No,Favor,49,2
Female,White,HighSchool,Catholic,Republican,Favor,2,No,Favor,54,2
Female,AfrAm,Graduate,Protestant,Independent,Oppose,2,No,Favor,45,2
Female,AfrAm,NotHs,Protestant,Democrat,Oppose,2,No,Favor,33,1
Male,AfrAm,JunColl,Other,Independent,Oppose,3,No,Oppose,30,2
Male,White,Bachelor,Other,Independent,Oppose,2,No,Favor,40,2
Male,White,HighSchool,Catholic,Democrat,Oppose,2,No,Favor,67,4
Female,AfrAm,HighSchool,Protestant,Democrat,Oppose,6,No,Oppose,65,4
Male,White,Bachelor,Protestant,Republican,Favor,1,No,Favor,37,3
Female,White,Graduate,Jewish,Independent,Favor,4,No,Favor,48,2
Female,AfrAm,NotHs,Protestant,Democrat,Favor,4,No,Favor,87,2
Male,AfrAm,JunColl,Other,Democrat,Favor,1,No,Favor,44,2
Male,White,JunColl,Other,Independent,Favor,1,No,Favor,72,1
Male,AfrAm,Graduate,Catholic,Democrat,Oppose,8,No,Favor,64,4
Female,White,HighSchool,Protestant,Republican,Favor,2,No,Favor,62,2
Male,White,Bachelor,Catholic,Independent,Favor,1,No,Favor,39,2
Male,AfrAm,HighSchool,Catholic,Democrat,Oppose,1,No,Oppose,42,2
Male,AfrAm,JunColl,Protestant,Democrat,Oppose,12,Yes,Oppose,55,4
Male,White,Bachelor,Catholic,Independent,Oppose,3,No,Favor,62,0
Female,White,Bachelor,Protestant,Democrat,Oppose,1,No,Favor,50,2
Male,White,JunColl,Catholic,Independent,Favor,1,Yes,Favor,37,3
Female,White,HighSchool,Catholic,Independent,Oppose,12,No,Favor,50,2
Female,White,HighSchool,Catholic,Independent,Favor,4,No,Favor,25,2
Male,White,HighSchool,Other,Independent,Oppose,5,No,Favor,30,3
Male,White,HighSchool,Protestant,Democrat,Favor,4,Yes,Favor,43,2
Male,Other,NotHs,Other,Other,Favor,12,No,Favor,61,2
Female,White,Graduate,Protestant,Republican,Favor,3,No,Favor,73,3
Male,White,HighSchool,Protestant,Republican,Favor,0,Yes,Favor,37,5
Male,White,NotHs,Protestant,Democrat,Favor,3,Yes,Favor,72,3
Male,White,HighSchool,Other,Independent,Oppose,2,Yes,Favor,27,2
Male,White,HighSchool,Other,Republican,Favor,2,Yes,Favor,23,1
Male,White,HighSchool,Catholic,Independent,Favor,3,No,Favor,34,2
Male,White,Graduate,Protestant,Republican,Favor,3,Yes,Oppose,76,5
Female,White,HighSchool,Catholic,Democrat,Favor,5,No,Favor,75,2
Female,White,HighSchool,Catholic,Democrat,Oppose,2,Yes,Favor,67,2
Male,White,HighSchool,Catholic,Democrat,Favor,3,Yes,Oppose,41,2
Female,White,HighSchool,Other,Independent,Favor,3,No,Favor,59,3
Female,White,HighSchool,Other,Democrat,Oppose,4,No,Favor,88,3
Male,White,Graduate,Protestant,Democrat,Oppose,0,No,Favor,48,3
Female,White,HighSchool,Catholic,Democrat,Favor,4,No,Favor,25,3
Male,Other,HighSchool,Other,Democrat,Oppose,0,Yes,Favor,43,3
Female,White,HighSchool,Catholic,Democrat,Oppose,6,Yes,Favor,33,3
Female,White,HighSchool,Other,Independent,Oppose,5,No,Favor,23,3
Male,White,Bachelor,Other,Republican,Favor,3,Yes,Favor,55,0
Female,White,NotHs,Protestant,Independent,Favor,5,No,Favor,84,2
Female,White,HighSchool,Catholic,Democrat,Favor,3,No,Favor,67,2
Female,White,JunColl,Protestant,Republican,Favor,1,Yes,Favor,57,2
Male,White,HighSchool,Other,Independent,Favor,4,Yes,Oppose,39,1
Male,White,Bachelor,Protestant,Democrat,Oppose,0,No,Favor,53,1
Male,White,Bachelor,Protestant,Republican,Favor,1,No,Favor,38,4
Female,White,Bachelor,Catholic,Republican,Favor,0,Yes,Favor,27,2
Female,White,Bachelor,Other,Independent,Oppose,2,No,Favor,50,2
Female,White,NotHs,Protestant,Democrat,Favor,4,No,Favor,76,3
Female,White,HighSchool,Protestant,Independent,Oppose,4,No,Favor,71,3
Male,White,NotHs,Protestant,Democrat,Favor,1,Yes,Favor,76,4
Male,White,HighSchool,Protestant,Other,Favor,2,No,Favor,50,2
Male,White,JunColl,Protestant,Democrat,Favor,1,Yes,Oppose,21,2
Male,White,HighSchool,Protestant,Independent,Favor,2,Yes,Favor,27,2
Male,White,HighSchool,Protestant,Independent,Favor,2,Yes,Favor,37,0
Male,White,HighSchool,Other,Independent,Favor,3,No,Oppose,30,4
Female,White,Bachelor,Other,Democrat,Oppose,3,No,Favor,57,3
Male,White,HighSchool,Other,Republican,Favor,5,No,Favor,57,0
Male,Hispanic,HighSchool,Other,Democrat,Favor,3,No,Oppose,41,4
Female,Other,Bachelor,Other,Independent,Favor,4,No,Favor,51,2
Male,White,HighSchool,Other,Independent,Favor,1,No,Favor,46,2
Female,White,HighSchool,Other,Independent,Oppose,2,Yes,Favor,34,3
Male,White,HighSchool,Protestant,Independent,Favor,2,Yes,Favor,52,2
Male,White,Graduate,Protestant,Republican,Favor,1,Yes,Favor,48,3
Male,White,HighSchool,Protestant,Independent,Oppose,3,Yes,Oppose,52,2
Female,White,HighSchool,Protestant,Republican,Oppose,1,No,Favor,62,3
Male,White,HighSchool,Protestant,Republican,Favor,4,No,Favor,49,2
Male,White,HighSchool,Other,Independent,Favor,2,Yes,Oppose,26,2
Male,Other,NotHs,Protestant,Democrat,Favor,3,Yes,Favor,22,3
Male,White,HighSchool,Protestant,Independent,Favor,5,No,Favor,47,6
Male,Hispanic,HighSchool,Other,Independent,Favor,6,No,Favor,25,2
Male,Hispanic,HighSchool,Catholic,Republican,Favor,20,No,Favor,21,4
Female,White,NotHs,Protestant,Democrat,Favor,5,No,Favor,80,3
Male,White,HighSchool,Other,Independent,Favor,1,Yes,Favor,48,2
Male,White,HighSchool,Other,Independent,Favor,1,No,Favor,31,1
Female,White,HighSchool,Protestant,Independent,Favor,3,Yes,Favor,64,3
Male,White,HighSchool,Protestant,Republican,Favor,2,No,Favor,26,2
Male,White,HighSchool,Other,Independent,Favor,1,Yes,Oppose,26,3
Male,White,HighSchool,Protestant,Democrat,Favor,4,No,Favor,68,3
Male,White,HighSchool,Protestant,Republican,Favor,2,Yes,Oppose,20,3
Female,White,JunColl,Catholic,Democrat,Favor,2,Yes,Favor,41,2
Female,White,HighSchool,Protestant,Democrat,Favor,3,No,Favor,58,3
Male,White,HighSchool,Catholic,Independent,Favor,1,No,Favor,24,2
Female,AfrAm,HighSchool,Protestant,Democrat,Favor,2,No,Favor,63,2
Female,Other,HighSchool,Catholic,Democrat,Oppose,5,Yes,Favor,23,2
Female,White,HighSchool,Protestant,Democrat,Favor,6,No,Favor,58,3
Male,White,Bachelor,Protestant,Republican,Oppose,1,No,Favor,69,3
Female,White,NotHs,Protestant,Democrat,Oppose,1,Yes,Favor,71,4
Male,White,HighSchool,Other,Republican,Favor,4,Yes,Favor,51,2
Male,AfrAm,HighSchool,Protestant,Republican,Favor,4,No,Favor,25,4
Male,White,NotHs,Other,Independent,Favor,4,Yes,Favor,25,3
Male,AfrAm,HighSchool,Protestant,Democrat,Favor,5,No,Favor,36,4
Female,White,HighSchool,Protestant,Republican,Oppose,5,No,Favor,68,4
Female,AfrAm,HighSchool,Protestant,Independent,Favor,2,Yes,Favor,20,3
Male,White,HighSchool,Protestant,Republican,Favor,2,Yes,Oppose,58,2
Male,White,HighSchool,Protestant,Republican,Favor,5,Yes,Favor,59,4
Female,White,NotHs,Protestant,Democrat,Favor,2,No,Oppose,83,2
Female,White,HighSchool,Protestant,Independent,Favor,6,No,Oppose,49,2
Female,White,HighSchool,Protestant,Republican,Oppose,2,No,Favor,72,2
Female,AfrAm,HighSchool,Other,Independent,Oppose,4,No,Favor,50,3
Male,White,NotHs,Other,Independent,Oppose,1,Yes,Favor,19,3
Male,White,HighSchool,Protestant,Independent,Oppose,8,No,Favor,37,1
Male,White,HighSchool,Other,Republican,Favor,5,Yes,Favor,56,2
Male,White,Bachelor,Protestant,Independent,Oppose,2,No,Favor,24,2
Female,White,HighSchool,Protestant,Independent,Favor,0,No,Favor,20,2
Female,White,HighSchool,Other,Independent,Favor,4,No,Favor,30,3
Male,White,Graduate,Protestant,Republican,Favor,5,Yes,Favor,67,3
Female,White,HighSchool,Protestant,Democrat,Favor,2,No,Favor,46,2
Male,White,HighSchool,Catholic,Independent,Favor,11,No,Favor,36,2
Female,White,Graduate,Catholic,Democrat,Favor,2,No,Favor,56,2
Male,White,HighSchool,Other,Republican,Favor,0,No,Favor,32,2
Female,White,HighSchool,Protestant,Republican,Favor,5,Yes,Favor,63,3
Female,White,NotHs,Protestant,Republican,Favor,3,No,Oppose,72,3
Male,Hispanic,JunColl,Catholic,Independent,Favor,1,No,Favor,37,2
Male,White,HighSchool,Catholic,Independent,Favor,3,Yes,Favor,21,2
Male,White,HighSchool,Protestant,Democrat,Favor,2,Yes,Favor,63,2
Male,White,HighSchool,Other,Democrat,Favor,2,No,Favor,34,3
Female,White,HighSchool,Protestant,Democrat,Favor,2,Yes,Favor,81,3
Male,White,NotHs,Protestant,Democrat,Favor,3,Yes,Oppose,50,2
Male,Hispanic,HighSchool,Catholic,Republican,Favor,4,No,Favor,38,2
Male,White,HighSchool,Protestant,Republican,Favor,1,Yes,Favor,34,3
Male,AfrAm,Graduate,Protestant,Democrat,Favor,3,No,Favor,31,3
Female,AfrAm,NotHs,Protestant,Democrat,Oppose,6,No,Favor,28,3
Female,AfrAm,NotHs,Protestant,Independent,Favor,4,No,Favor,33,3
Female,AfrAm,NotHs,Protestant,Democrat,Oppose,3,No,Favor,37,3
Male,AfrAm,HighSchool,Protestant,Democrat,Favor,3,Yes,Oppose,27,4
Male,White,Bachelor,Protestant,Republican,Favor,2,Yes,Oppose,25,3
Female,White,HighSchool,Catholic,Democrat,Oppose,8,No,Favor,76,3
Male,White,JunColl,Catholic,Republican,Favor,1,No,Favor,46,2
Male,White,HighSchool,Protestant,Independent,Favor,3,Yes,Oppose,22,2
Female,White,HighSchool,Protestant,Republican,Favor,1,Yes,Favor,65,4
Female,White,HighSchool,Protestant,Democrat,Favor,3,No,Favor,48,2
Male,White,HighSchool,Protestant,Independent,Favor,3,No,Favor,47,3
